img_path_base,input,encryption,ms_compare
materials/merge_sort/imgs/fruits/melon,"[2, 1, 4, 3, 5, 6]","['F', 'D', 'C', 'E', 'A', 'B']",9
materials/merge_sort/imgs/fruits/banana,"[2, 1, 6, 7, 5, 3, 9, 8, 10, 4]","['G', 'C', 'E', 'J', 'I', 'H', 'F', 'B', 'D', 'A']",24
