img_path_base,input,encryption,ms_compare
materials/merge_sort/imgs/fruits/melon,"[2, 1, 4, 3, 5, 6]","['F', 'D', 'C', 'E', 'A', 'B']",9
materials/merge_sort/imgs/fruits/apple,"[3, 1, 2, 4, 5, 6]","['B', 'A', 'F', 'C', 'E', 'D']",10
materials/merge_sort/imgs/fruits/banana,"[2, 1, 4, 5, 3, 6, 7]","['D', 'A', 'C', 'B', 'E', 'G', 'F']",12
materials/merge_sort/imgs/fruits/apple,"[5, 2, 1, 3, 4, 6, 7]","['D', 'G', 'B', 'F', 'A', 'E', 'C']",13
materials/merge_sort/imgs/fruits/banana,"[2, 1, 6, 7, 5, 3, 9, 8, 10, 4]","['G', 'C', 'E', 'J', 'I', 'H', 'F', 'B', 'D', 'A']",24
